GAME OF THE YEAR,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
GAMES FOR IMPACT,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
LIFE IS STRANGE (1st),https://en.wikipedia.org/wiki/Life_Is_Strange,Dontnod Entertainment,Square Enix | Feral Interactive (Linux  OS X) | Black Wing Foundation (Android  iOS) | ,Android | iOS | Linux | Microsoft Windows | OS X | PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,Episode 1: 30 January 2015 | Episode 2: 24 March 2015[2] | Episode 3: 19 May 2015[3] | Episode 4: 28 July 2015[4] | Episode 5: 20 October 2015 | ,Graphic adventure,Single-player
Cibele,https://en.wikipedia.org/wiki/Cibele_(video_game),Star Maid Games,Nina Freeman ,Microsoft Windows  MacOS,2015,Adventure,Single-player 
Her Story,https://en.wikipedia.org/wiki/Her_Story_(video_game),Sam Barlow,Sam Barlow,iOS | Microsoft Windows | OS X | Android | ,iOS  Windows  OS X: 24 June 2015 | Android: 25 June 2016 | ,Interactive movie,Single-player
Sunset,https://en.wikipedia.org/wiki/Sunset_(video_game),Tale of Tales,Tale of Tales,Microsoft Windows  OS X  Linux,NA: 2015-05-21: EU: 2015-05-21 | ,Adventure  interactive storytelling,Single-player
Undertale,https://en.wikipedia.org/wiki/Undertale,Toby Fox,Toby Fox[a] | 8-4[b] | ,Microsoft Windows | OS X | Linux | PlayStation 4 | PlayStation Vita | Nintendo Switch | ,September 15  2015 ,Role-playing,Single-player

BEST SHOOTER,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
SPLATOON (1st),https://en.wikipedia.org/wiki/Splatoon,Nintendo EAD,Nintendo,Wii U,JP: 28 May 2015[5]: NA: 29 May 2015[4] | EU: 29 May 2015[6]: AU: 30 May 2015 | ,Third-person shooter,Single-player |  multiplayer
Call of Duty: Black Ops III,https://en.wikipedia.org/wiki/Call_of_Duty:_Black_Ops_III,Treyarch[a],Activision,Microsoft WindowsMacOSPlayStation 3PlayStation 4Xbox 360Xbox One,November 6  2015April 4 2019 (MacOS),First-person shooter,Single-player |  multiplayer[c]
Destiny: The Taken King,https://en.wikipedia.org/wiki/Destiny:_The_Taken_King,Bungie,Activision,PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,WW: September 15  2015,Action role-playing  first-person shooter,Multiplayer
Halo 5: Guardians,https://en.wikipedia.org/wiki/Halo_5:_Guardians,343 Industries,Microsoft Studios,Xbox One,October 27  2015,First-person shooter,Single-player |  multiplayer
Star Wars Battlefront,https://en.wikipedia.org/wiki/Star_Wars_Battlefront_(2015_video_game),EA DICE,Electronic Arts,Microsoft WindowsPlayStation 4[2]Xbox One[2],NA: November 17  2015: AU: November 18  2015 | EU: November 19  2015: ,First-person shooter  third-person shooter,Single-player | [3] multiplayer[4]

BEST ACTION/ADVENTURE,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
METAL GEAR SOLID V: THE PHANTOM PAIN (1st),https://en.wikipedia.org/wiki/Metal_Gear_Solid_V:_The_Phantom_Pain,Kojima Productions[a],Konami,Microsoft Windows | PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,WW: September 1  2015: JP: September 2  2015 | ,Action-adventure  stealth,Single-player |  multiplayer
Assassin's Creed Syndicate,https://en.wikipedia.org/wiki/Assassin%27s_Creed_Syndicate,Ubisoft Quebec,Ubisoft,PlayStation 4 | Xbox One | Microsoft Windows | ,October 23  2015,Action-adventure  stealth,Single-player
Batman: Arkham Knight,https://en.wikipedia.org/wiki/Batman:_Arkham_Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,Microsoft Windows | PlayStation 4 | Xbox One | ,June 23  2015,Action-adventure,Single-player
Ori and the Blind Forest,https://en.wikipedia.org/wiki/Ori_and_the_Blind_Forest,Moon Studios,Microsoft Studios,Microsoft Windows | Xbox One | Nintendo Switch | ,Windows  Xbox One: March 11  2015 | Nintendo Switch: September 27  2019 | ,Platform-adventure  Metroidvania,Single-player
Rise of the Tomb Raider,https://en.wikipedia.org/wiki/Rise_of_the_Tomb_Raider,Crystal Dynamics,Square Enix[a],Xbox 360 | Xbox One | Microsoft Windows | PlayStation 4 | macOS | Linux | Stadia | ,10 November 2015,Action-adventure,Single-player

BEST ROLE PLAYING GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
THE WITCHER 3: WILD HUNT (1st),https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt,CD Projekt Red,CD Projekt,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PS4  Xbox One: 19 May 2015 | Nintendo Switch: 15 October 2019 | ,Action role-playing,Single-player
Bloodborne,https://en.wikipedia.org/wiki/Bloodborne,FromSoftware,Sony Computer Entertainment,PlayStation 4,NA: March 24  2015: PAL: March 25  2015 | JP: March 26  2015: UK: March 27  2015 | ,Action role-playing,Single-player |  multiplayer
Fallout 4,https://en.wikipedia.org/wiki/Fallout_4,Bethesda Game Studios[a],Bethesda Softworks,Microsoft Windows | PlayStation 4 | Xbox One | ,November 10  2015,Action role-playing,Single-player
Pillars of Eternity,https://en.wikipedia.org/wiki/Pillars_of_Eternity,Obsidian Entertainment,Paradox Interactive | Versus Evil (Switch) | ,Microsoft Windows | OS X | Linux | PlayStation 4 | Xbox One | Nintendo Switch[1] | ,Windows  OS X  Linux: March 26  2015 | PlayStation 4  Xbox One: August 29  2017 | Nintendo Switch: August 8  2019 | ,Role-playing,Single-player
Undertale,https://en.wikipedia.org/wiki/Undertale,Toby Fox,Toby Fox[a] | 8-4[b] | ,Microsoft Windows | OS X | Linux | PlayStation 4 | PlayStation Vita | Nintendo Switch | ,September 15  2015 ,Role-playing,Single-player

BEST FIGHTING GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
MORTAL KOMBAT X (1st),https://en.wikipedia.org/wiki/Mortal_Kombat_X,NetherRealm Studios[a],Warner Bros. Interactive Entertainment,iOS | Microsoft Windows | PlayStation 4 | Xbox One | Android | ,iOS: April 7  2015[4] | Microsoft Windows: April 13  2015 | PlayStation 4  Xbox One: April 14  2015[5] | Android: May 4  2015[6] | ,Fighting,Single-player |  multiplayer
